,What class does the SI leader support?,Is this a full observation or coaching session?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:,Session Requirements: [Session plan utilized (as far as you can tell)],Session Requirements: [Agenda displayed/shared],How was the session opened?,Which collaborative techniques did the SI Leader use during the session?,Space use: what was the structure of the room and its purpose?,The SI Leader... [Uses a variety of collaborative techniques & learning activities],"The SI Leader... [Uses activities that serve a broad range of learning styles (visual, auditory, kinesthetic)]",The SI Leader... [Includes or mentions study strategies or tips],"The SI Leader... [Redirects a majority of questions (to a student, the group, or source materials)]",The SI Leader... [Breaks down large concepts without re-lecturing],The SI Leader... [Allows students to process question or prompt before providing insight (wait time)],The SI Leader... [Consistently and effectively checks for understanding],"The SI Leader... [Actively encourages student interactions by moving around the room, having students scribe, break-out groups, etc]",The SI Leader... [Makes sure information is correct],The SI Leader... [Balances having a productive and flexible session],What are areas of improvement or strengths for the SIL from above?,Rate the SI Leader on the following: [Demonstrates respect for all students],Rate the SI Leader on the following: [Makes an effort to connect with all students],Rate the SI Leader on the following: [Fosters a comfortable learning environment for all students],Rate the SI Leader on the following: [Praises & encourages students for their contributions],Rate the SI Leader on the following: [Knows and uses the students' names],Rate the SI Leader on the following: [Behaves in a professional manner throughout session],Rate the SI Leader on the following: [Models excitement for the subject],Rate the SI Leader on the following: [Greets and actively incorporates all students (including late comers) into the session activities],Rate the SI Leader on the following: [Most people participated in the session],"Rate the SI Leader on the following: [Learning was student led (for example, SI participants hold the marker more than the SI Leader).]",What are areas of improvement or strengths for the SIL from above?,How many students were present in the session?,How did the session close?,Overall areas of strength for SI Leader. (Please copy your answer below into the email you send to the SI Leader.),Overall areas of improvement for SI Leader.  (Please copy your answer below into the email you send to the SI Leader.)
,MATH-171,Full observation,,,,Yes,Yes,A math wordle,"Think-Pair-Share, Jigsaw, Gallery Walk",Promoted collaboration,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Did a good job trying to balance giving hints with letting them do things on their own, saw some great redirecting as well! I'd like to see more study tips incorporated especially since she mentioned they've got a test coming up soon.",Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Great job connecting with the students! I think the only thing I'd recommend is being more aware of how long the activities are taking / keeping an eye on the time.,2,An exam brain dump and then whiteboard doodles! ,"Great job connecting with the students (especially seeing that they're regulars) and using the SI facilitation strategies, saw a lot of wait time and redirecting. I also liked the amount of distinct activities, and there was a good balance of trying to let them think it through and having another student answer.","Don't be afraid to give them a few more hints when they're taking a bit of time or when one student is pretty significantly lost. Also, don't forget to keep an eye on the time; the opener and closer went a bit long. "
,CHMG-141,Full observation,,,,Yes,Yes,The session was opened with a warm-up to refresh their memory. It was some simple problems involving the period table.,"Group discussion, Clusters, Turn to a partner",Promoted lecturing,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI Leader could mention some study strategies, but overall she did a great job. The session was productive but also flexible and laid-back. She used a variety of activities to accommodate different learning styles. The session was set-up in a lecture style, but they were up on the board most of the time so it wasn't a problem. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,The SI leader was friendly with her students and tried to learn their names. The students were comfortable around her and were comfortable asking questions about the class. She did good redirecting questions and all the students were very talkative and willing to participate. ,4,Asking student's what their favorite thing at RIT is,"Some strengths I loved: the PowerPoint was great, and clapping after students participated really helped them feel connected. I liked that you’re making an effort to learn their names and gave everyone a chance to go up to the board. You handled questions really well and adapted to what the students needed. Your activities were very fun (especially the matching activity). ","For improvement, it would be good to join the tables together so students can face each other and work together instead of the room feeling so lecture-style. You could also make some problems a little competitive, like a matching game where the first person to finish gets candy. It would be helpful as well to share some quick study tips with the students."
,CSCI-141,Full observation,,,,Unsure,No,Python Questions Slideshow,There was only 1 student,Promoted collaboration,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,"SIL had good facilitation strategies, I couldn't nitpick anything from this session because there was only one student.",Yes,Yes,Yes,Yes,Unsure,Yes,Yes,Yes,Yes,Yes,The student was holding the marker for about 80% of the session. That could be improved to 100% of the session.,1,They discussed a topic that the student wanted more practice with.,"I liked how you catered the session to the student's needs by asking them what they wanted more practice with and being flexible with the session plan. It was great that you told the student to use the attendance quizzes to study for the midterm. You gave the student some good strategies if they were struggling on a problem, like when you made sure the student understood the problem by setting aside the code temporarily. ","Since there was not an agenda that I could see, I wasn't sure which parts of the session were planned vs unplanned. Having the agenda on the board lets the students easily track where they are in the session plan, and it also helps students figure out what is going on if they come in late."
,MATH-171,Full observation,,,,Yes,No,"The session was opened with ""hangman"", but instead of having a hangman everyone starts with 5 points, and gets points reduced. Not with vocabulary words.","Clusters, Turn to a partner, ",Promoted collaboration,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI leader did a great job. The session was very student-led. When all of the students didn't know how to solve a problem, she broke down each part of the question and redirected it to them. ",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"The session atmosphere was very good. The session started with one student, and they started talking before the session began. After 5 minutes, these two students (who were friends) showed up. When doing a partner activity, I would have broken up the two friends to allow the other student to form relationships with the students. The SI Leader could have mentioned the students names more too! The session atmosphere was relaxed and she showed passion about the course material. ",3,The session came to a close by asking students what they learned.,"You’ve built a really nice relationship with your students, they seem comfortable with you, and that makes a big difference. I really liked your opener, the hangman-style activity was engaging and fun, and it got everyone participating right away. When some students didn’t understand the question on the board, you did a really good job of stepping back, asking redirecting questions, and breaking the problem down so they could figure it out on their own instead of just giving them the answer. Great job checking for understanding in the students as well by asking them to explain the problem back to you!","For the puppet activity, it could have worked even better if the two friends were split up a little, just so they had a chance to interact more with the rest of the group. Also, writing the agenda on the board would give the students a clear idea of what’s coming and help them stay focused. I would also suggest using the students’ names more often! When you mention students by name, it makes them feel noticed and included, and that little detail can go a long way. "
,CSCI-141,Full observation,,,,Yes,Yes,Coding Vocab Crossword,"Group discussion, Clusters, Jigsaw, Group survey",Promoted collaboration,Yes,Yes,Somewhat,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,"The activities were very well balanced, with a good mix of vocab vs coding practice. The examples included also built off of each other very well, and created a very nice flow during the session. Good job checking for understanding and seeing what students wanted to focus on, pivoting to what they wanted to review the most while still staying within the time constraints. The only thing I'd recommend is possibly have the students start writing out examples on the whiteboard earlier, or ask them question while you're showing them how to solve it. This would make the session much more collaborative, and get rid of all the lecture-y components. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Great job keeping the students engaged! Even with a larger group, he did a great job going around the room helping people who needed additional support. Good encouragement when students would get something right, and not outright telling them the answer when working in the groups. Overall this session was a really good environment, and the students were clearly learning.",6,Upcoming sessions review,"The activities were very well balanced, with a good mix of vocab vs coding practice. The examples included also built off of each other very well, and created a very nice flow during the session. Good job checking for understanding and seeing what students wanted to focus on, pivoting to what they wanted to review the most while still staying within the time constraints. Also great job keeping the students engaged! Even with a larger group, you did a great job going around the room helping people who needed additional support. Overall this session was a really good environment, and the students were clearly learning.","The only thing I'd recommend is for the Kahoot activity, try to bring in more student collaboration while going over the answers. You could possibly have the students start writing out examples on the whiteboard earlier, or ask them question while you're showing them how to solve it. This would make the session much more collaborative, and get rid of all the lecture-y components. "
,GCIS-123,Full observation,,,,Yes,Yes,It was opened with the Higher or Lower and Wikipedia Speedrun games.,"Group discussion, Clusters",Chaotic / Unordered,Yes,Yes,Unsure,Somewhat,Yes,Somewhat,Yes,Yes,Yes,Yes,"Areas of Strength:
The vocab grab bag was a great way to get the students involved in discussion and starting to think about the material. It also helps the students feel more comfortable with each other.   After they finished solving a problem, the SIL did a good job having them explain their solution to check their understanding. While solving, the SIL wasn't hovering over them or telling them the answer
Areas of Improvement:
When the students ask you questions, redirect it to the group so the other can answer their question or they can discuss to try to connect the dots. If applicable, have them refer to their notes before giving more hints or explaining yourself. When they're working together to solve the problems, don't jump in to give hints or point out mistakes until after they're finished solving or have exhausted all other resources to figure things out.
Reorganize the room before the students come in so that the room doesn't feel like a random jumble of desks where the students can sit anywhere. It's a bit too chaotic.",Yes,Yes,Yes,Somewhat,No,Yes,Unsure,Yes,Yes,Yes,"Areas of Strength:
The students were fully involved in the activity. By switching out who wrote the code on the board every line, the SI Leader made sure the students were actively remembering what came next. The students seemed very comfortable with the SIL and each other. The SIL wrote no code herself and only pointed out mistakes if the students didn't catch them themselves.
Areas of Improvement:
Try to use their names and give some praise throughout the session when they answer correctly. When the students are confused or have a question, before redirecting them, encourage them to ask each other, discuss, or look at their notes if applicable.",2,The SIL asked what the students wanted in their exam review and announced the bonus session time.,"You did a great job making sure the session was student-led, checking for understanding, and ensuring all the students were actively learning. The students were comfortable with each other and all actively learning. The activities were all had them interact as a group and showed many ways to process/study the material. You did a good job of asking a question to hint towards the solution instead of giving the solution when the students asked questions.","When the students have questions, redirect it to the group before answering yourself and have them look at their notes before giving more hints or explaining. Also, when they're solving problems, leave them to solve the problems without hints or pointing out mistakes until they've completed the problem or exhausted their resources in figuring it out. Try to use their names more."
,Chem!!,Full observation,,,,Yes,Yes,SIL's opener for the session was an exam 1 prep google form. This form had questions on it that allowed the students to tell SIL/SIL what topics they are comfortable or not comfortable with.,"Group discussion, Turn to a partner, Think-Pair-Share, Group survey",Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Strengths: this is my second time observing SIL (first time was about a year ago) and she has grown so much since then!!! It is clear that she has been putting a lot of effort into her role as a SIL, and her additional contributions to the mentor team this semester definitely reflect that. When I walked into the room, the chairs were already set up in a semi-circle facing the front of the room - PERFECT for collaboration and to ensure that all students are actively engaged throughout the session. I can tell that she was prepared for the session and truly looks forward to hosting sessions. Her students had a lot of questions about the upcoming exam and she did a great job answering them all honestly. She also provided other study resources for the students to use for additional review outside of SI sessions. 

Improvements: n/a ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Strengths: I really love that even though it's still early in the semester, I can tell that you have a strong relationship with your students!! They were all actively engaged and participated throughout the session and overall the vibes were so great. One of my favorite parts about your session is when you were checking in with the two girls at the whiteboard and realized that one of them was more confident in the material than the other, so you asked them to work together and use each other as a resource!! I also really love the tone in which you speak to your students - you are just so friendly and awesome and if I was in chem I would literally be at your sessions all the time!

Improvements: n/a!!! you did awesome",6,Question of the day: what is your favorite class this semester?,"This was a super strong session!! You used many collaborative learning activities and checked for understanding consistently throughout your session. I can tell that even though it is still early in the semester, you have fostered a great relationship with your students - they were all engaged and participated a lot. You are super strong in immediately redirecting questions asked to other students, allowing them to use each other as a resource. I also really love how you and SIL bounced back and forth together to check in with the pairs of students when they were working at whiteboards.

Another thing I really loved is that you didn't make your students feel bad or feel embarrassed if they didn't know the material. You were super patient with the girl in the red sweater when she totally didn't understand atomic orbitals - really great job redirecting to the rest of the students and allowing them to continue that conversation together. I can tell that your students aren't afraid to mess up or make mistakes and that is a true testament to you as a person and how you run your sessions.",Girl I literally got nothing LOL this was an amazing session!! I haven't observed you since like November 2024 and you have grown SO much since then! You are totally comfortable in the role and that also shows through your contributions to the mentor team this semester as well. Really great job overall :)
,CSCI-243,Full observation,,,,Yes,Unsure,Kahoot,"Group discussion, Clusters, Think-Pair-Share",Promoted lecturing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,The only bad thing I saw was some students having a side conversation while SIL was answering a question from another student. In that case I would tell the students having a side conversation to pay attention.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Honestly SIL did everything above perfectly. No notes,5,,"You had perfect redirecting questions. You caught yourself a few times before you were about to give the answer, but realized you could redirect them. You also directly answered the questions that would not be appropriate for redirecting, for example questions that none of the students would know the answer for.","The only bad thing I saw was some students having a side conversation while SIL was answering a question from another student. In that case I would tell the students having a side conversation to pay attention. I know your session started late and that was out of your control, but make sure that your session doesn't go over the hour."
,CHMG 141,Full observation,,,,Yes,Yes,Heads up with chemistry terms,"Group discussion, Clusters, Turn to a partner, Think-Pair-Share, Assigned Discussion Leader",Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Knowing and using student names,6,Study tips pertaining to upcoming exam,"This was an amazing session! The room and session setup facilitated collaboration, and the vibes were super chill and friendly, you could tell all the students felt comfortable and ready to learn and work together. I loved your heads up opener, I will totally be stealing it for my sessions. The problems were appropriately challenging and I like that you made it fun ex. including the Jay Z reference. Overall great session!!","Don't have much to say here, this was a great session! The only thing I could possibly say was learning and using students names, which comes with time since it's early in the semester."
,GCIS-123,Full observation,,,,Yes,No,2 Truths and a Lie,"Group discussion, Individual Presentations",Promoted collaboration,Somewhat,Yes,Somewhat,Unsure,Somewhat,Yes,Yes,Unsure,Yes,Yes,"The session plan was very well done, with a good mix of conceptual and coding practice. While I know it's difficult to be collaborative with only one student, the usage of wait time and checking for understanding was used well. In terms of making the coding practices more exciting, I'd recommend framing them with a more interesting problem statement, or for multiple people doing line-by-line coding. Also don't forget the session agenda on the whiteboard!",Yes,Yes,Yes,Yes,Somewhat,Yes,Somewhat,Yes,Yes,Yes,"Good job keeping the student engaged, and focused on the course content! I would recommend possibly pivoting away from a two truths and a lie opener, as that tends to work better for larger group sessions or earlier in the year. I'd also say you might want to add a bit more content to your activities so the session runs the full 50 minutes. Or in the case of a single student session, asking them what else they'd like to review and doing a few minutes of that at the end of the session. ",1,Check for understanding,"The session plan was very well done, with a good mix of conceptual and coding practice. While I know it's difficult to be collaborative with only one student, the usage of wait time and checking for understanding was used well. Good job keeping the student engaged, and focused on the course content! ","In terms of making the coding practices more exciting, I'd recommend framing them with a more interesting problem statement, or for multiple people doing line-by-line coding. Also don't forget the session agenda on the whiteboard! I would recommend possibly pivoting away from a two truths and a lie opener, as that tends to work better for larger group sessions or earlier in the year. I'd also say you might want to add a bit more content to your activities so the session runs the full 50 minutes. Or in the case of a single student session, asking them what else they'd like to review and doing a few minutes of that at the end of the session. "
,CSCI-242,Full observation,,,,Yes,Yes,Wordle,"Group discussion, Think-Pair-Share",Promoted collaboration,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,"I really enjoyed the activities,  it mostly was white board coding however there was different types of questions asked, one was time complexity content, the other was turtle questions, and as well as recursion. One thing I noticed was that the factorial function he had does did not work. I didn't say anything while observing however let him know a at the end to run the before presenting them to students.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Overall great session, for relationships and atmosphere, everyone was talking and the groups were uneven so he stepped in and grouped up with one of the students. People were comfortable talking",3,Asking students how they felt about the content covered and also giving reminders for upcoming events within the class that being an exam.,"Great atmosphere at the session, as well as great variety of activities to go quickly through different topics and review and reinforce the content. ",Double check your program to ensure that your code is correct however good job overall.
,PHOTO TECHHHH,Full observation,,,,Yes,Yes,"SIL started off with a game of guess who! This was a fun game where the students got to write down fun facts about themselves on notecards, and then they mixed them up and tried to guess which fact matched each person.","Group discussion, Clusters",Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Strengths: The room was arranged in table groups when I came in which is great for collaboration! SIL has such a friendly and kind vibe and I can tell that her students feel comfortable to ask her questions and participate, which they did. She did a longer opener today, but set a great boundary for the students for how much time they could take on it before they moved on - which I think is super important because the opener that she did was super fun and sometimes it can take a lot of effort to get students to start focusing on content. The two main activities SIL did was a worksheet and make-a-quizlet. The students and SIL did the first half of the worksheet together, then the students finished it in their table groups and went over it altogether. The make-a-quizlet activity is SO great for photo tech - the students did this in clusters and it is awesome because it lets them literally make their own study resource while in session that they can refer back to later. 

Improvements: There were only 9 students present, and sometimes with lower numbers, it makes it more awkward to walk around, but I do think she could have been a little more active, especially when going over the worksheet. Something I liked to do when I was a SIL was sit on one of the tables or just stand away from the podium in general when going over worksheets! This helped me feel more involved and not like I was lecturing the material to the students, so maybe this is something she could try.",Yes,Yes,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,"Strengths: SIL did great incorporating the one student that came in late!! She caught them up right away and had them pull up a chair to one of the tables. The balance between her and SIL was also really strong throughout the session - they were bouncing off of each other and it was great to see. She knows and used most of the students' names (I think there were a few new people and the students were a little unsure who each other were). She did great with this though, reminding students of each other's names.

Improvements: Kind of going off of my last sentence, SIL is on the quieter side, so it is definitely a little easier for Audrey to kind of take control of the session if the students get distracted or start side conversations. I know this will come with time, but I would like to see SIL taking charge a little bit more of her sessions!! Having a co-lead is great because you can lean on each other throughout the session, but I want to encourage her to be more confident and own her sessions! Also, I think that sometimes when students are having a hard time with the material, it can really help to almost OVER praise them for their contributions. It didn't seem like she had any students who were 100% lost, but this was just kind of a general comment for future sessions because the material will get really confusing later in the semester. ",11,They played Quizlet live with the Quizlet they just made in their table groups! So much fun and such a great way to keep the session flowing. ,"This was a super chill session and you did really well!! You presented the material to the students in a non-stressful way that also allowed for a lot of collaboration, within the worksheet and also when they made their own quizlet. You also had such great energy throughout the session and the students definitely matched that. Your sessions have been super strong so far and I have loved reading your paperwork; I can't wait to see how much you grow throughout the semester!!","Being super nitpicky because you did awesome - you could use the students' names a little more! They all seemed really comfortable so this wasn't a huge issue but it just helps them feel more welcomed when you use their names directly. One thing I also noticed is that while you were reviewing the TOD worksheet with them, you tended to stand behind the podium a lot. Even just sitting on the table next to the podium or something like that can help make reviewing the worksheet less lecturey and more like a conversation - like you're all just casually talking about TOD together! LOL if that makes any sense. Overall such a good job though!!"
